DugumId,Ozellik_I (Aktiflik),Ozellik_II (Etkileşim),Ozellik_III (Bagl. Sayisi),Komsular
1,0.22,79,5,"2,19,49,63,74"
2,0.59,67,3,"1,64,69"
3,0.56,30,5,"14,19,20,21,33"
4,0.95,24,6,"11,32,35,41,58,71"
5,0.67,52,8,"10,17,19,22,27,43,47,52"
6,0.44,84,4,"25,62,72,73"
7,0.61,23,6,"8,12,36,57,58,67"
8,0.84,61,8,"7,11,12,27,32,40,47,71"
9,0.22,25,7,"31,45,47,54,59,68,72"
10,0.37,43,6,"5,18,31,40,65,66"
11,0.78,75,4,"4,8,28,62"
12,0.31,66,7,"7,8,22,26,42,49,60"
13,0.57,69,7,"14,38,42,48,55,73,75"
14,0.95,20,7,"3,13,41,44,49,67,72"
15,0.15,57,3,"46,48,61"
16,0.97,83,8,"17,18,29,31,41,43,44,59"
17,0.81,57,3,"5,16,27"
18,0.79,95,10,"10,16,22,24,43,44,45,46,66,75"
19,0.67,39,8,"1,3,5,23,32,36,40,72"
20,0.2,13,3,"3,37,40"
21,0.11,52,4,"3,23,60,74"
22,0.22,15,4,"5,12,18,42"
23,0.75,80,7,"19,21,25,49,52,63,64"
24,0.84,17,7,"18,33,34,40,58,63,73"
25,0.9,90,3,"6,23,50"
26,0.22,79,3,"12,56,62"
27,0.76,5,4,"5,8,17,50"
28,0.13,21,3,"11,35,41"
29,0.89,49,3,"16,63,67"
30,0.42,1,8,"32,34,42,45,53,68,73,74"
31,0.42,37,6,"9,10,16,36,60,68"
32,0.45,54,6,"4,8,19,30,36,39"
33,0.88,25,3,"3,24,74"
34,0.87,13,7,"24,30,41,51,53,56,70"
35,0.59,94,2,"4,28"
36,0.65,31,6,"7,19,31,32,49,70"
37,0.99,10,4,"20,44,68,72"
38,0.68,78,4,"13,42,51,57"
39,0.84,97,4,"32,55,59,72"
40,0.17,47,5,"8,10,19,20,24"
41,0.31,49,7,"4,14,16,28,34,62,66"
42,0.15,20,6,"12,13,22,30,38,51"
43,0.29,62,5,"5,16,18,61,70"
44,0.77,29,4,"14,16,18,37"
45,0.13,10,3,"9,18,30"
46,0.38,50,4,"15,18,54,72"
47,0.93,11,4,"5,8,9,60"
48,0.21,62,3,"13,15,51"
49,0.53,2,7,"1,12,14,23,36,53,60"
50,0.78,77,4,"25,27,57,66"
51,0.53,88,5,"34,38,42,48,57"
52,0.77,67,4,"5,23,53,71"
53,0.23,78,5,"30,34,49,52,61"
54,0.82,11,2,"9,46"
55,0.88,23,3,"13,39,66"
56,0.25,49,3,"26,34,70"
57,0.79,18,8,"7,38,50,51,63,66,67,68"
58,0.14,42,4,"4,7,24,68"
59,0.54,25,4,"9,16,39,71"
60,0.72,76,6,"12,21,31,47,49,62"
61,0.9,2,6,"15,43,53,65,69,74"
62,0.43,80,5,"6,11,26,41,60"
63,0.37,98,5,"1,23,24,29,57"
64,0.59,2,2,"2,23"
65,0.47,50,2,"10,61"
66,0.64,13,6,"10,18,41,50,55,57"
67,0.14,81,4,"7,14,29,57"
68,0.31,99,6,"9,30,31,37,57,58"
69,0.77,13,2,"2,61"
70,0.57,5,5,"34,36,43,56,71"
71,0.89,13,5,"4,8,52,59,70"
72,0.15,93,7,"6,9,14,19,37,39,46"
73,0.72,60,4,"6,13,24,30"
74,0.24,48,5,"1,21,30,33,61"
75,0.48,49,2,"13,18"
